"id","zone_erm_id","shop_class_id","city_id","manager_id","cm","name","address","phone"
"37","8","1","34257","177","3159","Golbey","68 RUE LORRAINE LA COTE OLIE RN57","03-29-81-11-20"
"38","8","2","3510","178","3292","Romilly","R19 CARREF DIDEROT","03-25-21-04-44"
"39","8","2","34447","30","3302","Saint Dié","38 ROUTE DE RAON L ETAPE","03-29-53-14-14"
"40","8","2","3527","29","3308","Saint Germain","ROUTE D AUXERRE R.N. 77","03-25-75-88-40"
"41","8","2","34460","28","3318","Saint Nabord","24 RANFAING ECHANGEUR MOULIN","03-29-62-23-13"
"42","8","2","34908","179","3330","Sens VL","105, RUE DU GENERAL DE GAULLE","03-86-83-87-30"
"43","9","3","34589","27","3026","Avallon Auchan","AVENUE DU GENERAL LECLERC CENTRE COMMERCIAL AUCHAN","03-86-34-56-64"
"44","9","3","6893","31","3100","Dijon Chenove VL","11,  RUE A. BECQUEREL","03-80-52-54-70"
"45","9","3","20249","32","3204","Ludres VL","145 RUE PASTEUR","03-83-50-19-19"
"46","9","3","21708","33","3225","Metz les Aravis VL","6 ALLEE DES TILLEULS PARC LES ARAVIS","03-87-65-00-56"
"47","10","2","8600","34","3023","Audincourt","RUE DE LA JALESIE BP 83108","03-81-35-02-28"
"48","10","2","27254","35","3084","Colmar","64, RUE DES PAPETERIES","03-89-41-17-14"
"49","10","1","26839","36","3164","Haguenau VI","15 ROUTE DE BITCHE","03-88-73-30-79"
"50","10","1","27339","37","3166","Illzach VI","RUE D ANNECY","03-89-31-12-61"
"51","10","1","27117","38","3336","Strasbourg Port du Rhin VI","3, RUE DE BAYONNE ZONE EUROFRET","03-88-39-39-09"
"52","11","2","8623","180","3036","Besançon","22 BIS, RUE AUGUSTE JOUCHOUX","03-81-53-06-96"
"53","11","2","28465","40","3066","Chalon sur Saône","11 RUE PIERRE DE COUBERTIN Z.I. NORD","03-85-46-89-70"
"54","11","2","6955","41","3102","Dijon Saint Apollinaire","RUE DE LA GOULETTE ZAC DU BOIS GUILLAUME","03-80-28-85-20"
"55","11","4","19575","41","3383","Base av. Langres","5 RUE JEAN MOULIN","03-80-28-85-30"
"56","11","2","28361","39","3360","Vesoul","22, BLD CHARLES DE GAULLE","03-84-75-34-32"
"57","12","2","20244","42","3093","Cosnes et Romain","COSNES ET ROMAIN Z.I. DES 4 CHEMINS","03-82-23-94-77"
"58","12","1","21297","43","3018","Argancy","RUE BLERIOT ZI D ENNERY","03-87-73-55-40"
"59","12","4","21851","43","3395","Base av. Saint Avold","ZONE DE L'EUROPORT","0000000000"
"60","12","1","20249","44","3203","Ludres VI","422 RUE PIERRE ET MARIE CURIE","03-83-57-33-15"
"61","12","2","21874","45","3329","Sarrebourg","5, RUE DU DOCTEUR SCHWEITZER","03-87-25-71-43"
"62","13","3","35006","181","3035","Belfort","AV. DE LA LAURENCIE","03-84-22-48-91"
"63","13","3","27339","47","3167","Illzach VL","11-15, RUE DE LONDRES AVENUE DE FRIBOURG","03-89-61-82-81"
"64","13","3","27407","46","3244","Mulhouse Dornach","2 RUE ANTOINE HERZOG","03-89-33-17-38"
"65","14","3","26839","48","3163","Haguenau rte de Strasbourg VL","105, ROUTE DE STRASBOURG","03-88-93-00-51"
"66","14","3","26961","49","3245","Mutzig","ESPACE ATRIUM","03-88-38-06-53"
"67","14","3","27117","50","3335","Strasbourg Meinau VL","276 AV DE COLMAR","03-88-65-70-42"
"68","15","1","4743","51","3052","Caen Sud","Z.I. MONDEVILLE SUD","02-31-82-89-70"
"69","15","2","16599","52","3081","Clisson","GETIGNE Z.A.","02-40-36-12-82"
"70","15","2","13572","53","3154","Fougères","BOULEVARD  GROSLAY","02-99-17-01-70"
"71","15","1","30202","54","3160","Gonfreville","ROUTE INDUSTRIELLE Z.I. PORTUAIRE N 4429","02-35-53-36-74"
"72","15","2","10606","55","3177","Landerneau","27,  RUE HERVE DE GUEBRIANT","02-98-30-35-80"
"73","15","1","21053","56","3178","Lanester Caudan VI","752 ROUTE DE CAUDAN ZAC DE KERGOUSSEL MORBIHAN","02-97-76-88-70"
"74","15","2","33404","182","3189","Les Herbiers","11 RUE EDOUARD BRANLY ZONE ARTISANALE LA BUZENIERE","02-51-91-19-08"
"75","15","4","33404","182","3277","Base av. Boissières des Landes","11 RUE EDOUARD BRANLY","02-51-91-19-08"
"76","15","2","18512","57","3313","Saint Lô","700, AVENUE DE PARIS","02-33-77-83-50"
"77","15","4","16585","58","3058","Base av. Carquefou VI","A RENSEIGNER","0000000000"
"78","15","4","16656","58","3238","Base av. Montoir de Bretagne","TRANSPORT AVRIL -ZA DE CADREAN BOULEVARD DE CADREAN","02-40-92-00-25"
"79","15","1","16717","58","3309","Saint Herblain VI","BOULEVARD SALVADOR ALLENDE ATLANTIS","02-40-92-00-25"
"80","15","2","5053","183","3365","Vire","RUE GUY DEGRENNE","02-31-68-56-57"
"81","15","2","13808","59","3368","Vitré","32 AVENUE D HELMSTEDT","02-23-55-11-20"
"82","16","3","4595","184","3053","Caen VL","2, RUE DU CHEMIN VERT ANGLE BOULEVARD DUNOIS","02-31-73-43-18"
"83","16","3","16585","185","3059","Carquefou VL","36, RUE DE GRANDE-BRETAGNE Z.I","02-51-85-29-10"
"84","16","3","13511","186","3065","Cesson VL","RUE DES CHARMILLES Z.I. SUD EST CHANTEPIE","02-99-53-77-77"
"85","16","3","21111","63","3179","Lanester VL","68, AVENUE AMBROISE CROIZAT","02-97-76-12-03"
